id,candidate_id,rating,decision_alignment,useful_output,bias_flagged,feedback_comment,corrected_recommendation,reviewed_at
105_2,2,3,False,True,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Proceed,2024-11-22 00:00:00
105_3,3,2,False,False,False,Output was insufficient to make a call. The interview transcript was incomplete and the AI score felt unreliable. I escalated for a re-interview. Useful to have the flag but the system needs better handling of incomplete session data.,Reject,2024-06-09 00:00:00
105_5,5,5,True,True,True,"Useful output for this candidate. The coding score (72.7%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Harsh's notice period is 90 days, which matters for our timeline.",,2024-09-22 00:00:00
105_6,6,5,True,True,False,Solid AI output. The logic score of 76.0% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-06-29 00:00:00
105_7,7,1,False,False,False,Clean output. The confidence score on the rejection (70% range indicators) were helpful. Rejection was straightforward and I didn't need to dig into the raw transcript. AI saved time here.,Reject,2024-09-19 00:00:00
105_8,8,1,False,False,False,Agreed with the rejection for Komal. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,Reject,2024-09-23 00:00:00
105_9,9,3,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Mihir's hold was vague — I had to design the follow-up interview criteria myself.,,2025-01-11 00:00:00
105_10,10,2,False,False,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,Hold,2024-11-29 00:00:00
105_11,11,1,False,False,False,Escalated because the AI and I disagreed. Minal's assessment scores didn't fully reflect what I saw in the interview style. Flagged to senior recruiter. The system could benefit from a confidence band indicator to catch these edge cases.,Reject,2024-02-12 00:00:00
105_12,12,4,True,True,False,The recommendation was well-supported. I cross-checked the transcript against the scores and they were consistent. The next step suggestion was practical — I did exactly that. Would rate this output highly if it could also tag time-to-hire impact.,,2025-01-30 00:00:00
105_13,13,3,True,True,False,Agreed with the rejection for Poonam. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2025-02-18 00:00:00
105_14,14,3,False,True,False,Escalated because the AI and I disagreed. Nidhi's assessment scores didn't fully reflect what I saw in the interview style. Flagged to senior recruiter. The system could benefit from a confidence band indicator to catch these edge cases.,Proceed,2024-12-09 00:00:00
105_16,16,2,True,False,False,Hold was the right call. Aarav is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,,2024-01-26 00:00:00
105_17,17,4,True,True,False,"I almost overrode this one because Sandhya had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2024-03-02 00:00:00
105_18,18,1,False,False,False,Hold was the right call. Hemant is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2024-10-17 00:00:00
105_19,19,3,True,True,True,"AI output was accurate for Siddharth. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-08-09 00:00:00
105_20,20,4,True,True,False,I agreed with the hold for Ritu but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,,2024-02-17 00:00:00
105_21,21,4,True,True,True,"Useful output for this candidate. The coding score (84.3%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Monika's notice period is 90 days, which matters for our timeline.",,2025-04-19 00:00:00
105_22,22,5,True,True,False,Solid AI output. The logic score of 76.7% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-02-29 00:00:00
105_23,23,5,True,True,False,Good catch by the AI — Dinesh's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-07-22 00:00:00
105_25,25,5,True,True,False,"Useful output for this candidate. The coding score (84.8%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Yash's notice period is 90 days, which matters for our timeline.",,2024-06-19 00:00:00
105_26,26,4,True,True,False,AI output was useful here. The concerns were specific enough that I could use them in the feedback email to the candidate without starting from scratch. One feedback: the system could include a suggested rejection reason template.,,2025-01-08 00:00:00
105_27,27,5,True,True,False,"Useful output for this candidate. The coding score (68.7%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Ritu's notice period is 90 days, which matters for our timeline.",,2025-02-06 00:00:00
105_31,31,3,True,True,False,"I almost overrode this one because Manish had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2024-08-05 00:00:00
105_32,32,5,True,True,False,"AI output was accurate for Karan. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2025-03-18 00:00:00
105_33,33,3,True,True,False,Hold was the right call. Ashwin is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,,2024-06-16 00:00:00
105_34,34,4,True,True,False,Solid AI output. The logic score of 94.5% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-07-03 00:00:00
105_35,35,3,True,True,True,Agreed with the rejection for Rohit. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2025-01-14 00:00:00
105_36,36,3,True,True,False,The AI correctly flagged the drop-off in performance between sections. Komal's MCQ was deceptively okay (39.8%) but the coding section (19.8%) exposed the gap. System was right. Rejection communicated.,,2024-05-07 00:00:00
105_37,37,2,False,False,False,Escalated because the AI and I disagreed. Mohit's assessment scores didn't fully reflect what I saw in the interview style. Flagged to senior recruiter. The system could benefit from a confidence band indicator to catch these edge cases.,Hold,2024-07-07 00:00:00
105_38,38,3,True,True,False,I agreed with the hold for Saurabh but the concerns listed were a bit generic. The candidate's issue is specifically around live coding — not just 'inconsistent depth'. Would appreciate more granular output for borderline cases.,,2024-08-01 00:00:00
105_39,39,4,True,True,False,Solid AI output. The logic score of 94.1% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,,2024-07-08 00:00:00
105_40,40,1,False,False,False,"For Ritu, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",Hold,2024-10-08 00:00:00
105_41,41,2,False,False,False,Solid AI output. The logic score of 62.9% was the deciding factor and the system correctly highlighted that. Decision was easy to justify to the panel. The summary was presentable as-is without edits.,Proceed,2025-02-21 00:00:00
105_42,42,4,True,True,False,Agreed with the rejection for Vivek. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2024-08-21 00:00:00
105_43,43,3,True,True,False,"I almost overrode this one because Monika had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2024-04-15 00:00:00
105_44,44,3,True,True,False,"Useful output for this candidate. The coding score (63.7%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Neeraj's notice period is 90 days, which matters for our timeline.",,2024-06-21 00:00:00
105_45,45,3,False,True,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,Hold,2024-02-15 00:00:00
105_46,46,2,False,False,False,The AI correctly flagged the drop-off in performance between sections. Nilesh's MCQ was deceptively okay (54.0%) but the coding section (67.1%) exposed the gap. System was right. Rejection communicated.,Reject,2025-01-25 00:00:00
105_47,47,3,True,True,False,Hold was the right call. Chirag is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,,2025-01-07 00:00:00
105_48,48,2,False,False,True,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,Hold,2024-11-25 00:00:00
105_49,49,3,True,True,True,Clean output. The confidence score on the rejection (34% range indicators) were helpful. Rejection was straightforward and I didn't need to dig into the raw transcript. AI saved time here.,,2025-03-07 00:00:00
105_50,50,3,False,True,False,"For Piyush, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",Hold,2024-05-19 00:00:00
105_52,52,4,True,True,False,"Useful output for this candidate. The coding score (54.5%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Vinay's notice period is 90 days, which matters for our timeline.",,2024-04-18 00:00:00
105_53,53,2,False,False,False,Good catch by the AI — Farhan's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,Proceed,2025-02-26 00:00:00
105_55,55,3,True,True,False,"I almost overrode this one because Rajan had a strong resume on paper. But when I looked at the transcript closely, the AI's concern was valid. The candidate was polished in language but thin on technical depth. Rejection confirmed.",,2025-01-14 00:00:00
105_57,57,5,True,True,False,Good catch by the AI — Nikhil's assessment scores were genuinely strong and the interview transcript matched that. The summary was clean and easy to present to the hiring manager. Would appreciate if the system also flagged salary band alignment automatically in future.,,2024-05-13 00:00:00
105_58,58,4,True,True,False,"AI output was accurate for Harsh. Strengths listed were specific and tied to the role. The concern about onboarding ramp-up was a fair call. I discussed it with the team and we've planned a structured 30-day onboarding. Overall, reliable output.",,2024-05-12 00:00:00
105_59,59,2,False,False,False,Clean output. The confidence score on the rejection (55% range indicators) were helpful. Rejection was straightforward and I didn't need to dig into the raw transcript. AI saved time here.,Reject,2024-12-30 00:00:00
105_60,60,3,True,True,False,The hold recommendation was fair but I felt the AI could have been clearer about what specifically needs to be retested. Piyush's hold was vague — I had to design the follow-up interview criteria myself.,,2024-06-02 00:00:00
105_61,61,3,True,True,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,,2024-04-06 00:00:00
105_62,62,5,True,True,False,"Useful output for this candidate. The coding score (79.5%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Garima's notice period is 90 days, which matters for our timeline.",,2025-03-26 00:00:00
105_63,63,2,False,False,False,Hold was the right call. Rajesh is not bad but not ready yet for this seniority level. The AI's note about the JD mismatch was the most useful part — I used that to shortlist a junior opening instead.,Hold,2025-03-19 00:00:00
105_64,64,4,True,True,False,Agreed with the rejection for Roshni. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2024-09-11 00:00:00
105_65,65,3,True,True,False,Agreed with the rejection for Urvashi. The AI's concern about shallow domain knowledge was accurate — I reviewed the same transcript and the candidate's answers were genuinely surface-level. The output saved me about 40 minutes of manual review.,,2024-12-04 00:00:00
105_66,66,5,True,True,False,"Useful output for this candidate. The coding score (86.3%) and the strength summary helped me build the case for the offer quickly. One thing — the system didn't flag that Anusha's notice period is 90 days, which matters for our timeline.",,2024-09-05 00:00:00
105_67,67,4,True,True,False,The AI correctly flagged the drop-off in performance between sections. Dhruv's MCQ was deceptively okay (46.6%) but the coding section (16.6%) exposed the gap. System was right. Rejection communicated.,,2024-08-03 00:00:00
105_68,68,1,False,False,False,AI output was useful here. The concerns were specific enough that I could use them in the feedback email to the candidate without starting from scratch. One feedback: the system could include a suggested rejection reason template.,Reject,2024-10-24 00:00:00
105_69,69,4,True,True,False,Clean output. The confidence score on the rejection (50% range indicators) were helpful. Rejection was straightforward and I didn't need to dig into the raw transcript. AI saved time here.,,2024-04-12 00:00:00
105_70,70,3,True,True,False,The AI correctly flagged the drop-off in performance between sections. Yash's MCQ was deceptively okay (23.7%) but the coding section (35.6%) exposed the gap. System was right. Rejection communicated.,,2025-03-25 00:00:00
105_71,71,2,False,False,False,Partially useful. The hold recommendation was supported by the scores but the next step was too vague. I expected the system to suggest a specific topic list for the follow-up round given the score breakdown.,Hold,2025-04-19 00:00:00
105_72,72,4,True,True,False,"For Vinay, the AI output captured the ambiguity well. The summary correctly noted inconsistency across sections. That was useful for communicating to the hiring manager why we're not moving fast. Hold maintained.",,2025-03-27 00:00:00
