id,candidate_id,round_no,scheduled_date,scheduled_time,session_duration_minutes,interview_mode,status,ai_score,communication_score,response_confidence_score,questions_answered,total_questions,transcript_summary,created_at
102_1,1,1,2024-05-22,17:45:00,90,Voice,Completed,46.67,32.58,18.47,6,15,"Alok struggled to maintain focus during the session. Out of 15 questions, only 6 were meaningfully answered. Several core technical questions went unanswered or received incorrect responses without self-correction. When asked about Android Developer fundamentals, the candidate gave surface-level answers that did not hold up under follow-up probing. Communication score of 32.6 reflects frequent long pauses, incomplete sentences, and off-topic tangents. The candidate appeared underprepared for the level expected. No significant strengths identified to offset the technical gaps.",2024-05-18 00:00:00
102_2,2,1,2024-10-30,09:30:00,90,Video,Completed,94.44,74.8,68.15,13,15,"Bhavesh handled the pressure well throughout the interview. Communication style was confident and professional, scoring 74.8 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in Full Stack Developer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-10-26 00:00:00
102_3,3,1,2024-05-20,15:30:00,90,Voice,Completed,92.22,75.61,69.01,14,15,"The session with Priya was notably efficient. Answered 14 of 15 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-05-16 00:00:00
102_4,3,2,2024-05-23,10:45:00,90,AI Avatar,Completed,93.99,74.98,69.2,7,8,"The session with Priya was notably efficient. Answered 7 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-05-18 00:00:00
102_5,4,1,2024-02-16,15:30:00,45,AI Avatar,Completed,90.06,82.77,70.83,10,10,"Tarun handled the pressure well throughout the interview. Communication style was confident and professional, scoring 82.8 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in DevOps Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-02-09 00:00:00
102_6,4,2,2024-02-14,09:45:00,60,Video,Completed,92.98,81.8,70.74,7,8,"Tarun demonstrated strong command over core DevOps Engineer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2024-02-11 00:00:00
102_7,5,1,2024-09-04,14:30:00,45,Video,Completed,85.06,87.24,75.02,11,12,"The session with Harsh was notably efficient. Answered 11 of 12 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-09-02 00:00:00
102_8,5,2,2024-09-03,14:00:00,45,Video,Completed,88.82,88.47,76.15,11,12,"Harsh handled the pressure well throughout the interview. Communication style was confident and professional, scoring 88.5 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in DevOps Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-09-04 00:00:00
102_9,6,1,2024-06-03,17:00:00,90,Video,Completed,87.88,80.05,83.55,6,8,"Ansh demonstrated strong command over core Cloud Engineer concepts from the outset. When asked about system design trade-offs, the candidate articulated clear reasoning around scalability and fault tolerance. Responses to situational questions were structured and backed with relevant examples from prior work. The candidate showed awareness of real-world constraints and didn't shy away from discussing past failures constructively. Communication was clear, paced well, and largely free of filler. Confidence was consistent even during follow-up probing questions. Minor gaps noted in knowledge of newer tooling but quickly self-corrected.",2024-06-01 00:00:00
102_10,6,2,2024-06-07,12:45:00,30,Voice,Completed,87.05,83.0,84.44,13,15,"Ansh handled the pressure well throughout the interview. Communication style was confident and professional, scoring 83.0 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in Cloud Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-06-03 00:00:00
102_11,7,1,2024-08-29,13:45:00,60,AI Avatar,Completed,49.75,66.69,61.15,8,10,"The session revealed a candidate with foundational knowledge in SRE Engineer but inconsistent depth. Urvashi was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 61.1 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-08-22 00:00:00
102_12,8,1,2024-09-03,13:45:00,45,Voice,Completed,64.89,64.5,47.23,8,12,Komal performed adequately across most sections but showed visible uncertainty in two key areas: cloud infrastructure decisions and performance optimization strategies. Completed 8 of 12 questions. The candidate's communication improved noticeably in the latter half of the interview. Technical responses were textbook-accurate but lacked real-world framing. No significant red flags were observed but the performance does not clearly differentiate this candidate from others at the same experience level.,2024-08-31 00:00:00
102_13,9,1,2024-12-27,17:00:00,30,AI Avatar,Completed,68.2,46.58,56.65,6,8,"The session revealed a candidate with foundational knowledge in UI/UX Designer but inconsistent depth. Mihir was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 56.6 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-12-21 00:00:00
102_14,10,1,2024-11-12,12:00:00,30,AI Avatar,Completed,83.2,73.66,79.0,7,8,"The session with Ashwin was notably efficient. Answered 7 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-11-10 00:00:00
102_15,10,2,2024-11-15,10:45:00,45,Video,Completed,83.24,74.28,81.69,8,8,"Ashwin handled the pressure well throughout the interview. Communication style was confident and professional, scoring 74.3 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in SRE Engineer work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2024-11-12 00:00:00
102_16,11,1,2024-01-23,17:45:00,60,AI Avatar,Completed,93.6,75.74,68.29,7,8,"The session with Minal was notably efficient. Answered 7 of 8 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-01-15 00:00:00
102_17,12,1,2025-01-07,17:00:00,90,Video,Completed,80.62,85.9,70.46,8,10,"Charu handled the pressure well throughout the interview. Communication style was confident and professional, scoring 85.9 on the communication rubric. When probed on a complex coding scenario, the candidate walked through the solution step-by-step, flagging edge cases proactively. Collaborative tone was evident — the candidate consistently acknowledged trade-offs rather than asserting single answers. Background in Data Scientist work was well-articulated with quantifiable outcomes mentioned. Interview concluded with all major topics covered.",2025-01-03 00:00:00
102_18,13,1,2025-02-05,14:45:00,90,AI Avatar,Completed,54.95,63.46,60.1,8,10,"Poonam started the session somewhat slowly but picked up momentum midway. Technical answers were mostly correct but lacked depth — responses tended to describe 'what' rather than 'why'. When asked about past project challenges, the candidate gave a general answer without specifics. Communication score of 63.5 reflects occasional hesitations and reliance on filler phrases. The candidate did not volunteer additional context unless directly prompted. Coding section was partially completed with one logical error not caught independently. Overall a competent but not standout performance.",2025-01-29 00:00:00
102_19,14,1,2024-11-27,09:00:00,90,AI Avatar,In Progress,17.81,16.38,15.65,2,8,"Nidhi began the session but disengaged after 2 questions, citing personal reasons. The questions covered included only introductory topics. No coding or design questions were reached. Insufficient data to generate a comprehensive performance evaluation. Status marked as incomplete pending candidate response.",2024-11-21 00:00:00
102_20,15,1,2025-02-23,17:00:00,30,Voice,Completed,62.9,66.97,61.68,7,12,Prashant performed adequately across most sections but showed visible uncertainty in two key areas: cloud infrastructure decisions and performance optimization strategies. Completed 7 of 12 questions. The candidate's communication improved noticeably in the latter half of the interview. Technical responses were textbook-accurate but lacked real-world framing. No significant red flags were observed but the performance does not clearly differentiate this candidate from others at the same experience level.,2025-02-15 00:00:00
102_21,15,2,2025-02-16,16:15:00,60,AI Avatar,Completed,62.9,69.69,62.0,5,8,Prashant performed adequately across most sections but showed visible uncertainty in two key areas: cloud infrastructure decisions and performance optimization strategies. Completed 5 of 8 questions. The candidate's communication improved noticeably in the latter half of the interview. Technical responses were textbook-accurate but lacked real-world framing. No significant red flags were observed but the performance does not clearly differentiate this candidate from others at the same experience level.,2025-02-17 00:00:00
102_22,16,1,2024-01-08,16:45:00,45,AI Avatar,Completed,26.71,47.39,20.05,6,12,"Aarav struggled to maintain focus during the session. Out of 12 questions, only 6 were meaningfully answered. Several core technical questions went unanswered or received incorrect responses without self-correction. When asked about Full Stack Developer fundamentals, the candidate gave surface-level answers that did not hold up under follow-up probing. Communication score of 47.4 reflects frequent long pauses, incomplete sentences, and off-topic tangents. The candidate appeared underprepared for the level expected. No significant strengths identified to offset the technical gaps.",2024-01-07 00:00:00
102_23,17,1,2024-02-11,17:15:00,30,Voice,Completed,62.87,66.08,48.38,12,15,Sandhya performed adequately across most sections but showed visible uncertainty in two key areas: cloud infrastructure decisions and performance optimization strategies. Completed 12 of 15 questions. The candidate's communication improved noticeably in the latter half of the interview. Technical responses were textbook-accurate but lacked real-world framing. No significant red flags were observed but the performance does not clearly differentiate this candidate from others at the same experience level.,2024-02-04 00:00:00
102_24,17,2,2024-02-10,17:00:00,45,Video,Cancelled,,,,2,8,"The session revealed a candidate with foundational knowledge in Full Stack Developer but inconsistent depth. Sandhya was able to answer straightforward questions confidently, but struggled when questions moved into architecture or system design territory. When redirected, the candidate often recovered with a partial answer. Answers to behavioral questions were vague — candidate mentioned 'team collaboration' without concrete examples. Confidence score of 0 reflects some nervousness during live problem-solving segments. The candidate showed willingness to learn and was receptive to interviewer hints.",2024-02-06 00:00:00
102_25,18,1,2024-09-27,16:45:00,45,Video,Completed,83.84,87.96,79.11,10,12,"The session with Hemant was notably efficient. Answered 10 of 12 questions with precision and minimal repetition. Technical depth was evident when discussing architecture decisions — candidate independently brought up trade-off considerations without prompting. Showed genuine enthusiasm about the role and asked pointed questions about team structure and tech stack. Body language (via avatar interaction cues) indicated comfort. A particularly strong answer was given around debugging methodology, citing a live incident they had resolved. No critical gaps identified.",2024-09-23 00:00:00
